batch	pageId	title_hint	pdfPage_hint	role
Batch01	af58bef5-4084-4ff5-9f19-775177c8f3e8	ア　空水の水灵	P415	sound_page
Batch02	fa51ec25-0ebd-4076-8e8e-46e66b5aecf0	五十行一言法則	(contains refs)	index_page
Batch02	383bc222-8887-4ece-b359-1e2bd9cb1891	ホ　正火の灵	P386	sound_page
Batch02	f9a9860b-2cc9-491c-8471-9bcd2587735f3	オ　空中の水灵	P389	sound_page
Batch02	f9d964dd-346a-437c-96b9-7fe9ced26092	ヲ	P391	sound_page
Batch02	af793d20-03e6-49da-b049-577c148e7ada	ヘ　正火の灵	P394	sound_page
Batch02	bbc36843-766d-4045-9253-efd5e6967f39	エ　空中の水灵	P396	sound_page
Batch02	00f704db-3ee8-427f-b97a-0a51f72f56ed	ヱ　水火灵	P397	sound_page
Batch02	925f7238-56fb-4571-8b84-2bc65c6f2096	フ　正火の灵	P398	sound_page
Batch02	b00a5bf6-a64e-47ca-a14c-61adcc38d8db	ウ　空中の水灵	P400	sound_page
Batch02	eb193664-b924-4f8f-9686-3ba2a01d0767	ウ（ワ行）水火の灵	P401	sound_page
Batch02	9e14b16b-a433-4bb1-859b-4d4953f5ce11	ヒ　正火の灵	P402	sound_page
Batch02	b7384766-98de-480f-851b-4bd9caf481af	ミ　火中の水灵	P405	sound_page
Batch02	bedbba7a-13ae-4898-8ebd-43a02c15e9a2	イ　空中の水灵	P408	sound_page
Batch02	cc1360b5-b6a8-47e5-abcc-a1e8fc9476d8	井　水火灵	P409	sound_page
Batch02	fa3d9570-b9fa-4570-81ab-5cc11c9ee3ea	ハ　正火の灵	P411	sound_page
Batch02	3b8443a4-b58d-47c8-b356-5a4a1dad4662	ワ　水火の灵	P420	sound_page
Batch02	9c467f99-eba4-44f1-8f58-9879897b3c7a	ヤ　火水の灵	P425	sound_page
Batch02	8336b9a2-316c-4648-bcfd-3e97ee720aeb	イ（ヤ行）水中の火灵	P429	sound_page
Batch02	f67e15e6-1a07-4f7b-a282-2e86e0173080	ユ　水中の火灵	P430	sound_page
Batch02	fabcab74-b94f-4101-9c11-14483ccdccbf0	エ（ヤ行）水中の火灵	P432	sound_page
Batch02	1340277a-2931-4a13-820f-dec359b201cd	ヨ　火水の灵	P434	sound_page
Batch02	15c93be3-8c64-43e0-b4fb-625ab52d7952	ノ　水の灵	P437	sound_page
Batch02	c7fbd177-fae6-4231-8066-a5c466fb8a27	子　火水の灵	P438	sound_page
Batch02	c8fc565d-5160-41b8-bf27-c70f536a2cdf	ヌ　火水の灵	P440	sound_page
Batch02	78022123-576c-4d6c-b187-cdcf2065eb1e	二　火水の灵	P442	sound_page
Batch02	71974cfd-35a5-4e6f-bbe1-20bd17297bb8	ラ　濁水の灵	P449	sound_page
Batch02	38eeaffd-5274-47bd-9246-63eced616e89	リ　濁水の灵	P449	sound_page
Batch02	8cfbb77d-9c28-4ae0-b066-8abdf354b865	ル　濁水の灵	P452	sound_page
Batch02	cd782ad5-19d2-4c30-b0a9-89de02babace	レ　濁水の灵	P452	sound_page
Batch02	64a28a2e-bb4b-431f-9f59-c9accaf86bfb	ロ　濁水の灵	P452	sound_page
Batch02	9b2171f1-ddc8-40bb-b790-ece3e3e34e0a	コ　影の火の灵	P452	sound_page
Batch02	0e16ab90-d262-46e9-b13b-26fbe16b4f79	ソ　水火の灵	P455	sound_page
Batch02	4a2da3ac-f79c-4910-9597-4747800ba70f	ケ　影の火灵	P462	sound_page
Batch02	a16e94f0-25e1-4d54-bca0-3fb240e37c76	セ　水中の火灵	P464	sound_page
Batch02	214b4d1f-1ac3-40ff-9a11-1684c3e6531a	ク　影の火灵	P466	sound_page
Batch02	75be70f1-05ca-4ae8-a211-bd40060f8c0d	ス　水中の火灵	P468	sound_page
Batch02	f58840ae-74fb-4dbb-bef1-0dd163c3e0ae	キ　影の火灵	P470	sound_page
Batch02	161b2909-b860-43d8-8bcf-c4634e4995a6	カ　輝火の灵	P474	sound_page
Batch02	b10b65ae-e38f-4cfa-ae2a-6388ddca9251	シ　昇水の灵	P479	sound_page
Batch02	c267fcdd-4c43-4694-b332-b8f61bb1a911	サ　昇水の灵	P488	sound_page
Batch02	c403cd00-188b-4e9f-8bf8-f5645b5e457e	タ　水中の火灵	P490	sound_page
Batch02	02b2cb0d-7570-4df5-9a41-891821c94ae2	チ　水中の火灵	P493	sound_page
Batch02	9f99ae24-3a96-42de-abda-5e85d61f005e	ツ　火中の水灵	P498	sound_page
Batch02	6144c490-d985-40b1-a7df-150729925796	テ　火水の灵	P499	sound_page
Batch02	ab81b99c-3aa3-4216-8b1a-d2c192e09d2a	卜（水中の火灵）	P502	sound_page
Batch02	fd877768-83f8-4734-adad-c433deda9760	モ　火中の水灵	P505	sound_page
Batch02	5ec78a18-2dfe-4105-80b9-718868bf7a07	メ　火中の水灵	P507	sound_page
Batch02	63e1b80f-faab-4dec-af54-4fa4e88aa942	ム　火中の水灵	P510	sound_page
Batch02	13bbf8f4-c628-4bf9-9f94-f76dc5603002	マ　火中の水灵	P515	sound_page
Batch03	c69b831f-b5e2-4de9-9b89-bf6ccc39874d	水火伝　火之巻二	(contains rules)	volume_page
Batch03	bfb59816-6c36-42db-945b-c8c5ad2c0998	水火伝　火の巻一	(contains rules)	volume_page
Batch03	210e55d1-0478-4f88-b857-6bfa9608d474	水火伝　火之巻三	(contains rules)	volume_page
Batch03	8178f17a-48ed-4329-9084-9c80ff143e50	水火伝　水之卷一	p97	volume_page
Batch03	973eedf1-ee61-447a-8273-918d43d3fb21	水火伝　水之巻ニ	p131	volume_page
Batch03	787022dc-fae9-4d2d-a708-a74fea467dd1	◯井灵 天地人を搦むの御伝	p99	law_page
Batch03	60702dcb-9f6f-4845-9375-88d238186ab0	五十連十行之発伝	p24	law_page
Batch03	0e3b30ee-8b75-464d-8aa8-b5aa4bcf3557	水火伝 詞縦緯	p246	law_page
GLOBAL	2daf4dde-ab94-463f-8d83-b89eaec99e17	言灵秘書データベース	(root)	root
GLOBAL	30f65146-58e6-801c-b6e4-000b4eb1bde3	Kotodama Master Index (database)	(n/a)	index_db